8,10.865556,-3.072778,17,7,3351,4384
9,13.2829,30.4783,20,7,4638,3224
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_250m_quality_control_flags,actual_date
8,2000/02/18,1140,1734,4096,N\A
8,2000/02/26,1518,2220,4096,N\A
8,2000/03/05,1357,2014,4096,N\A
8,2000/03/13,1533,2283,4096,N\A
8,2000/03/21,1421,2130,4096,N\A
8,2000/03/29,1668,2578,4096,N\A
8,2000/04/06,1369,2329,4096,N\A
8,2000/04/14,1306,2164,4096,N\A
8,2000/04/22,1183,2274,4096,N\A
8,2000/04/30,1175,2310,4096,N\A
8,2000/05/08,1864,2993,4096,N\A
8,2000/05/16,1179,2800,4096,N\A
8,2000/05/24,948,2494,4096,N\A
8,2000/06/01,1162,2916,4096,N\A
8,2000/06/09,816,2683,4096,N\A
8,2000/06/17,526,2986,4096,N\A
8,2000/06/25,687,3375,4096,N\A
8,2000/07/03,412,2973,4096,N\A
8,2000/07/11,2201,4293,4096,N\A
8,2000/07/19,649,2364,4096,N\A
8,2000/07/27,571,3301,4096,N\A
8,2000/08/04,-28672,-28672,65535,N\A
8,2000/08/12,3448,4687,4096,N\A
8,2000/08/20,579,4194,4096,N\A
8,2000/08/28,1654,3206,4096,N\A
8,2000/09/05,619,3310,4096,N\A
8,2000/09/13,976,2736,4096,N\A
8,2000/09/21,697,2495,4096,N\A
8,2000/09/29,596,2433,4096,N\A
8,2000/10/07,935,2931,4096,N\A
8,2000/10/15,1303,2874,4096,N\A
8,2000/10/23,1129,2955,4096,N\A
8,2000/10/31,492,1062,4096,N\A
8,2000/11/08,848,1654,4096,N\A
8,2000/11/16,929,1885,4096,N\A
8,2000/11/24,772,1312,4096,N\A
8,2000/12/02,934,1874,4096,N\A
8,2000/12/10,817,1409,4096,N\A
8,2000/12/18,787,1256,4096,N\A
8,2000/12/26,927,1547,4096,N\A
8,2001/01/01,1012,1619,4096,N\A
8,2001/01/09,1117,1724,4096,N\A
8,2001/01/17,1097,1710,4096,N\A
8,2001/01/25,1150,1775,4096,N\A
8,2001/02/02,1165,1752,4096,N\A
8,2001/02/10,1158,1727,4096,N\A
8,2001/02/18,1194,1770,4096,N\A
8,2001/02/26,1162,1767,4096,N\A
8,2001/03/06,1402,2078,4096,N\A
8,2001/03/14,1196,1851,4096,N\A
8,2001/03/22,1276,2002,4096,N\A
8,2001/03/30,972,1645,4096,N\A
8,2001/04/07,1058,1761,4096,N\A
8,2001/04/15,1473,2492,4096,N\A
8,2001/04/23,1197,1989,4096,N\A
8,2001/05/01,947,1636,4096,N\A
8,2001/05/09,1146,2007,4096,N\A
8,2001/05/17,1027,2087,4096,N\A
8,2001/05/25,1115,2272,4096,N\A
8,2001/06/02,946,2507,4096,N\A
8,2001/06/10,687,1896,4096,N\A
8,2001/06/26,853,2795,4096,N\A
8,2001/07/04,1729,3309,4096,N\A
8,2001/07/12,720,2730,4096,N\A
8,2001/07/20,586,3564,4096,N\A
8,2001/07/28,1701,3865,4096,N\A
8,2001/08/05,759,2035,4096,N\A
8,2001/08/13,2275,4008,4096,N\A
8,2001/08/21,1207,4022,4096,N\A
8,2001/08/29,808,2561,4096,N\A
8,2001/09/06,1709,3325,4096,N\A
8,2001/09/14,290,1586,4096,N\A
8,2001/09/22,892,3279,4096,N\A
8,2001/09/30,813,2926,4096,N\A
8,2001/10/08,845,2774,4096,N\A
8,2001/10/16,916,2690,4096,N\A
8,2001/10/24,629,1663,4096,N\A
8,2001/11/01,781,1385,4096,N\A
8,2001/11/09,756,1568,4096,N\A
8,2001/11/17,954,1620,4096,N\A
8,2001/11/25,963,1741,4096,N\A
8,2001/12/03,856,1345,4096,N\A
8,2001/12/11,904,1476,4096,N\A
8,2001/12/19,917,1399,4096,N\A
8,2001/12/27,900,1457,4096,N\A
8,2002/01/01,1031,1620,4096,N\A
8,2002/01/09,1231,1935,4096,N\A
8,2002/01/17,1167,1812,4096,N\A
8,2002/01/25,919,1430,4096,N\A
8,2002/02/02,1201,1795,4096,N\A
8,2002/02/10,1372,2065,4096,N\A
8,2002/02/18,1264,1859,4096,N\A
8,2002/02/26,1096,1653,4096,N\A
8,2002/03/06,1304,2050,4096,N\A
8,2002/03/14,1136,1852,4096,N\A
8,2002/03/22,3200,3666,4096,N\A
8,2002/03/30,1275,2035,4096,N\A
8,2002/04/07,1989,2597,4096,N\A
8,2002/04/15,1025,1957,4096,N\A
8,2002/04/23,1229,2198,4096,N\A
8,2002/05/01,1558,2731,4096,N\A
8,2002/05/09,1458,2568,4096,N\A
8,2002/05/17,1366,2401,4096,N\A
8,2002/05/25,1289,2220,4096,N\A
8,2002/06/02,1230,2287,4096,N\A
8,2002/06/10,1294,2662,4096,N\A
8,2002/06/18,719,1888,4096,N\A
8,2002/06/26,1132,2947,4096,N\A
8,2002/07/04,616,2152,4096,N\A
8,2002/07/12,1134,2691,4096,N\A
8,2002/07/20,1893,3578,4096,N\A
8,2002/07/28,726,3272,4096,N\A
8,2002/08/05,508,3665,4096,N\A
8,2002/08/13,706,4069,4096,N\A
8,2002/08/21,489,2815,4096,N\A
8,2002/08/29,609,3005,4096,N\A
8,2002/09/06,530,3088,4096,N\A
8,2002/09/14,502,3034,4096,N\A
8,2002/09/22,561,3248,4096,N\A
8,2002/09/30,748,3093,4096,N\A
8,2002/10/08,907,2843,4096,N\A
8,2002/10/16,912,2487,4096,N\A
8,2002/10/24,775,1692,4096,N\A
8,2002/11/01,980,1891,4096,N\A
8,2002/11/09,889,1589,4096,N\A
8,2002/11/17,922,1594,4096,N\A
8,2002/11/25,921,1702,4096,N\A
8,2002/12/03,1213,2276,4096,N\A
8,2002/12/11,900,1452,4096,N\A
8,2002/12/19,1053,1616,4096,N\A
8,2002/12/27,987,1509,4096,N\A
8,2003/01/01,1046,1627,4096,N\A
8,2003/01/09,898,1422,4096,N\A
8,2003/01/17,1433,1995,4096,N\A
8,2003/01/25,1161,1763,4096,N\A
8,2003/02/02,1040,1594,4096,N\A
8,2003/02/10,1314,2214,4096,N\A
8,2003/02/18,1331,2098,4096,N\A
8,2003/02/26,1498,2341,4096,N\A
8,2003/03/06,1705,2553,4096,N\A
8,2003/03/14,1427,2144,4096,N\A
8,2003/03/22,1141,2136,4096,N\A
8,2003/03/30,1609,2816,4096,N\A
8,2003/04/07,1631,3142,4096,N\A
8,2003/04/15,1531,2619,4096,N\A
8,2003/04/23,1193,2139,4096,N\A
8,2003/05/01,1410,2448,4096,N\A
8,2003/05/09,1235,2135,4096,N\A
8,2003/05/17,1492,2392,4096,N\A
8,2003/05/25,1162,2070,4096,N\A
8,2003/06/02,1475,2677,4096,N\A
8,2003/06/10,1098,2347,4096,N\A
8,2003/06/18,889,2170,4096,N\A
8,2003/06/26,661,2224,4096,N\A
8,2003/07/04,648,2267,4096,N\A
8,2003/07/12,2772,3836,4096,N\A
8,2003/07/20,609,2627,4096,N\A
8,2003/07/28,1854,3783,4096,N\A
8,2003/08/05,1338,3148,4096,N\A
8,2003/08/13,446,2700,4096,N\A
8,2003/08/21,515,3087,4096,N\A
8,2003/08/29,1701,3786,4096,N\A
8,2003/09/06,352,2741,4096,N\A
8,2003/09/14,525,2811,4096,N\A
8,2003/09/22,551,2873,4096,N\A
8,2003/09/30,1105,3750,4096,N\A
8,2003/10/08,719,2797,4096,N\A
8,2003/10/16,972,3061,4096,N\A
8,2003/10/24,927,2267,4096,N\A
8,2003/11/01,972,2350,4096,N\A
8,2003/11/09,804,1531,4096,N\A
8,2003/11/17,675,1681,4096,N\A
8,2003/11/25,842,1523,4096,N\A
8,2003/12/03,791,1369,4096,N\A
8,2003/12/11,894,1460,4096,N\A
8,2003/12/19,914,1543,4096,N\A
8,2003/12/27,859,1372,4096,N\A
8,2004/01/01,859,1372,4096,N\A
8,2004/01/09,1080,1695,4096,N\A
8,2004/01/17,957,1474,4096,N\A
8,2004/01/25,950,1499,4096,N\A
8,2004/02/02,1289,1894,4096,N\A
8,2004/02/10,1270,1912,4096,N\A
8,2004/02/18,1432,2174,4096,N\A
8,2004/02/26,1126,1734,4096,N\A
8,2004/03/05,1432,2114,4096,N\A
8,2004/03/13,1489,2289,4096,N\A
8,2004/03/21,1778,2557,4096,N\A
8,2004/03/29,1321,2244,4096,N\A
8,2004/04/06,1130,2021,4096,N\A
8,2004/04/14,1574,2479,4096,N\A
8,2004/04/22,758,1828,4096,N\A
8,2004/04/30,956,2343,4096,N\A
8,2004/05/08,756,2303,4096,N\A
8,2004/05/16,928,2340,4096,N\A
8,2004/05/24,1025,3359,4096,N\A
8,2004/06/01,1062,3211,4096,N\A
8,2004/06/09,599,2165,4096,N\A
8,2004/06/17,581,2991,4096,N\A
8,2004/06/25,1931,3740,4096,N\A
8,2004/07/03,331,2658,4096,N\A
8,2004/07/11,410,2595,4096,N\A
8,2004/07/19,2185,4165,4096,N\A
8,2004/07/27,1537,3391,4096,N\A
8,2004/08/04,568,2946,4096,N\A
8,2004/08/12,930,2823,4096,N\A
8,2004/08/20,2011,4262,4096,N\A
8,2004/08/28,474,2707,4096,N\A
8,2004/09/05,758,3830,4096,N\A
8,2004/09/13,689,3884,4096,N\A
8,2004/09/21,584,2640,4096,N\A
8,2004/09/29,965,3252,4096,N\A
8,2004/10/07,865,2474,4096,N\A
8,2004/10/15,1135,3016,4096,N\A
8,2004/10/23,721,1717,4096,N\A
8,2004/10/31,1078,2288,4096,N\A
8,2004/11/08,1009,1991,4096,N\A
8,2004/11/16,963,1744,4096,N\A
8,2004/11/24,1249,2347,4096,N\A
8,2004/12/02,903,1527,4096,N\A
8,2004/12/10,958,1652,4096,N\A
8,2004/12/26,1087,1705,4096,N\A
8,2005/01/01,1260,1829,4096,N\A
8,2005/01/09,1791,2471,4096,N\A
8,2005/01/17,1212,1873,4096,N\A
8,2005/01/25,1246,1829,4096,N\A
8,2005/02/02,1439,2048,4096,N\A
8,2005/02/10,1636,2270,4096,N\A
8,2005/02/18,1628,2369,4096,N\A
8,2005/02/26,4436,5031,4096,N\A
8,2005/03/06,1457,2140,4096,N\A
8,2005/03/14,1539,2352,4096,N\A
8,2005/03/22,1454,2173,4096,N\A
8,2005/03/30,1555,2350,4096,N\A
8,2005/04/07,1396,2304,4096,N\A
8,2005/04/15,1584,2661,4096,N\A
8,2005/04/23,1437,2342,4096,N\A
8,2005/05/01,1121,2211,4096,N\A
8,2005/05/09,989,2284,4096,N\A
8,2005/05/17,1232,2300,4096,N\A
8,2005/05/25,1039,2414,4096,N\A
8,2005/06/02,1062,2276,4096,N\A
8,2005/06/10,881,2619,4096,N\A
8,2005/06/18,566,2280,4096,N\A
8,2005/06/26,1375,3077,4096,N\A
8,2005/07/04,918,3096,4096,N\A
8,2005/07/12,1222,3690,4096,N\A
8,2005/07/20,515,2913,4096,N\A
8,2005/07/28,1755,4216,4096,N\A
8,2005/08/05,559,2823,4096,N\A
8,2005/08/13,2453,3982,4096,N\A
8,2005/08/21,657,3643,4096,N\A
8,2005/08/29,1804,3111,4096,N\A
8,2005/09/06,1034,3051,4096,N\A
8,2005/09/14,619,3058,4096,N\A
8,2005/09/22,452,2555,4096,N\A
8,2005/09/30,1006,2846,4096,N\A
8,2005/10/08,1086,2867,4096,N\A
8,2005/10/16,1203,2746,4096,N\A
8,2005/10/24,616,1342,4096,N\A
8,2005/11/01,857,1616,4096,N\A
8,2005/11/09,1015,1685,4096,N\A
8,2005/11/17,1079,1859,4096,N\A
8,2005/11/25,1009,1713,4096,N\A
8,2005/12/03,957,1585,4096,N\A
8,2005/12/11,1080,1739,4096,N\A
8,2005/12/19,1179,1796,4096,N\A
8,2005/12/27,1123,1770,4096,N\A
8,2006/01/01,1123,1770,4096,N\A
8,2006/01/09,1056,1630,4096,N\A
8,2006/01/17,1108,1711,4096,N\A
8,2006/01/25,1068,1617,4096,N\A
8,2006/02/02,1244,1885,4096,N\A
8,2006/02/10,1109,1699,4096,N\A
8,2006/02/18,1224,1819,4096,N\A
8,2006/02/26,1494,2261,4096,N\A
8,2006/03/06,1413,2092,4096,N\A
8,2006/03/14,1685,2451,4096,N\A
8,2006/03/22,1279,1828,4096,N\A
8,2006/03/30,1992,2697,4096,N\A
8,2006/04/07,1307,2014,4096,N\A
8,2006/04/15,1248,1975,4096,N\A
8,2006/04/23,1258,2210,4096,N\A
8,2006/05/01,1687,2990,4096,N\A
8,2006/05/09,1447,2553,4096,N\A
8,2006/05/17,1713,2561,4096,N\A
8,2006/05/25,822,1955,4096,N\A
8,2006/06/02,1145,2687,4096,N\A
8,2006/06/10,1528,2810,4096,N\A
8,2006/06/18,694,2530,4096,N\A
8,2006/06/26,873,2989,4096,N\A
8,2006/07/04,651,2598,4096,N\A
8,2006/07/12,647,2783,4096,N\A
8,2006/07/20,3457,4780,4096,N\A
8,2006/07/28,520,2736,4096,N\A
8,2006/08/05,2339,4063,4096,N\A
8,2006/08/13,1230,2707,4096,N\A
8,2006/08/21,658,3810,4096,N\A
8,2006/08/29,513,2886,4096,N\A
8,2006/09/06,1043,3543,4096,N\A
8,2006/09/14,923,3646,4096,N\A
8,2006/09/22,865,2485,4096,N\A
8,2006/09/30,758,2557,4096,N\A
8,2006/10/08,740,2389,4096,N\A
8,2006/10/16,914,2385,4096,N\A
8,2006/10/24,764,1758,4096,N\A
8,2006/11/01,936,2056,4096,N\A
8,2006/11/09,985,1869,4096,N\A
8,2006/11/17,1006,1755,4096,N\A
8,2006/11/25,1018,1794,4096,N\A
8,2006/12/03,1060,1784,4096,N\A
8,2006/12/11,1009,1615,4096,N\A
8,2006/12/19,986,1516,4096,N\A
8,2006/12/27,1150,1766,4096,N\A
8,2007/01/01,1416,2040,4096,N\A
8,2007/01/09,1269,1869,4096,N\A
8,2007/01/17,1383,1984,4096,N\A
8,2007/01/25,1155,1784,4096,N\A
8,2007/02/02,1341,2014,4096,N\A
8,2007/02/10,1301,1946,4096,N\A
8,2007/02/18,1446,2106,4096,N\A
8,2007/02/26,1379,2037,4096,N\A
8,2007/03/06,1482,2177,4096,N\A
8,2007/03/14,1465,2161,4096,N\A
8,2007/03/22,1755,2665,4096,N\A
8,2007/03/30,2258,2925,4096,N\A
8,2007/04/07,1319,2447,4096,N\A
8,2007/04/15,1265,2317,4096,N\A
8,2007/04/23,759,2115,4096,N\A
8,2007/05/01,808,2151,4096,N\A
8,2007/05/09,1205,2785,4096,N\A
8,2007/05/17,1096,2487,4096,N\A
8,2007/05/25,766,2204,4096,N\A
8,2007/06/02,1040,2445,4096,N\A
8,2007/06/10,1318,2887,4096,N\A
8,2007/06/18,730,2101,4096,N\A
8,2007/06/26,1129,3129,4096,N\A
8,2007/07/04,791,2329,4096,N\A
8,2007/07/12,757,3113,4096,N\A
8,2007/07/20,127,947,4096,N\A
8,2007/07/28,673,3239,4096,N\A
8,2007/08/05,4148,5131,4096,N\A
8,2007/08/13,301,2780,4096,N\A
8,2007/08/21,1109,4149,4096,N\A
8,2007/08/29,1218,3810,4096,N\A
8,2007/09/06,472,2723,4096,N\A
8,2007/09/14,944,2192,4096,N\A
8,2007/09/22,608,2739,4096,N\A
8,2007/09/30,678,2476,4096,N\A
8,2007/10/08,1107,2583,4096,N\A
8,2007/10/16,1375,2543,4096,N\A
8,2007/10/24,1137,2106,4096,N\A
8,2007/11/01,1105,2019,4096,N\A
8,2007/11/09,1116,2022,4096,N\A
8,2007/11/17,1050,1710,4096,N\A
8,2007/11/25,979,1560,4096,N\A
8,2007/12/03,1092,1789,4096,N\A
8,2007/12/11,1064,1740,4096,N\A
8,2007/12/19,974,1524,4096,N\A
8,2007/12/27,1095,1666,4096,N\A
8,2008/01/01,1224,1858,4096,N\A
8,2008/01/09,1191,1763,4096,N\A
8,2008/01/17,1307,1880,4096,N\A
8,2008/01/25,1268,1842,4096,N\A
8,2008/02/02,1384,1996,4096,N\A
8,2008/02/10,1580,2253,4096,N\A
8,2008/02/18,1416,2022,4096,N\A
8,2008/02/26,1643,2358,4096,N\A
8,2008/03/05,1306,1930,4096,N\A
8,2008/03/13,1343,2043,4096,N\A
8,2008/03/21,1351,2188,4096,N\A
8,2008/03/29,1996,3293,4096,N\A
8,2008/04/06,1470,2563,4096,N\A
8,2008/04/14,1940,2910,4096,N\A
8,2008/04/22,1534,2348,4096,N\A
8,2008/04/30,1645,2796,4096,N\A
8,2008/05/08,1030,1998,4096,N\A
8,2008/05/16,1531,2591,4096,N\A
8,2008/05/24,1255,2515,4096,N\A
8,2008/06/01,1608,2593,4096,N\A
8,2008/06/09,1116,2512,4096,N\A
8,2008/06/17,1013,2460,4096,N\A
8,2008/06/25,429,1108,4096,N\A
8,2008/07/03,1252,2882,4096,N\A
8,2008/07/11,721,3133,4096,N\A
8,2008/07/19,995,2755,4096,N\A
8,2008/07/27,874,3065,4096,N\A
8,2008/08/04,1182,4135,4096,N\A
8,2008/08/12,1191,2928,4096,N\A
8,2008/08/20,303,2801,4096,N\A
8,2008/08/28,1171,3606,4096,N\A
8,2008/09/05,699,3622,4096,N\A
8,2008/09/13,2130,4122,4096,N\A
8,2008/09/21,702,3327,4096,N\A
8,2008/09/29,1253,3210,4096,N\A
8,2008/10/07,933,2705,4096,N\A
8,2008/10/15,855,2400,4096,N\A
8,2008/10/23,817,1991,4096,N\A
8,2008/10/31,1008,1961,4096,N\A
8,2008/11/08,926,1912,4096,N\A
8,2008/11/16,1044,1990,4096,N\A
8,2008/11/24,959,1799,4096,N\A
8,2008/12/02,1041,1894,4096,N\A
8,2008/12/10,853,1327,4096,N\A
8,2008/12/18,1162,1941,4096,N\A
8,2008/12/26,1084,1803,4096,N\A
8,2009/01/01,1314,2244,4096,N\A
8,2009/01/09,1097,1727,4096,N\A
8,2009/01/17,1371,1948,4096,N\A
8,2009/01/25,1184,1882,4096,N\A
8,2009/02/02,1285,1929,4096,N\A
8,2009/02/10,1362,2103,4096,N\A
8,2009/02/18,1081,1920,4096,N\A
8,2009/02/26,1353,2273,4096,N\A
8,2009/03/06,1413,2640,4096,N\A
8,2009/03/14,1536,2796,4096,N\A
8,2009/03/22,1150,2240,4096,N\A
8,2009/03/30,1064,2309,4096,N\A
8,2009/04/07,2017,3363,4096,N\A
8,2009/04/15,1298,2710,4096,N\A
8,2009/04/23,1130,2329,4096,N\A
8,2009/05/01,1510,2719,4096,N\A
8,2009/05/09,898,2744,4096,N\A
8,2009/05/17,1056,2651,4096,N\A
8,2009/05/25,908,2419,4096,N\A
8,2009/06/02,1166,2629,4096,N\A
8,2009/06/10,1680,2985,4096,N\A
8,2009/06/18,764,2614,4096,N\A
8,2009/06/26,1784,3334,4096,N\A
8,2009/07/04,773,3062,4096,N\A
8,2009/07/12,1885,3856,4096,N\A
8,2009/07/20,732,2629,4096,N\A
8,2009/07/28,2554,3692,4096,N\A
8,2009/08/05,1767,3376,4096,N\A
8,2009/08/13,2271,3601,4096,N\A
8,2009/08/21,1374,2967,4096,N\A
8,2009/08/29,2767,4292,4096,N\A
8,2009/09/06,679,3793,4096,N\A
8,2009/09/14,1063,3387,4096,N\A
8,2009/09/22,704,3105,4096,N\A
8,2009/09/30,1066,2940,4096,N\A
8,2009/10/08,671,2097,4096,N\A
8,2009/10/16,918,2933,4096,N\A
8,2009/10/24,1019,2705,4096,N\A
8,2009/11/01,686,1368,4096,N\A
8,2009/11/09,768,1700,4096,N\A
8,2009/11/17,907,1605,4096,N\A
8,2009/11/25,907,1564,4096,N\A
8,2009/12/03,878,1473,4096,N\A
8,2009/12/11,883,1385,4096,N\A
8,2009/12/19,1065,1787,4096,N\A
8,2009/12/27,1003,1559,4096,N\A
8,2010/01/01,1003,1559,4096,N\A
8,2010/01/09,1110,1756,4096,N\A
8,2010/01/17,1107,1638,4096,N\A
8,2010/01/25,1304,2011,4096,N\A
8,2010/02/02,1123,1663,4096,N\A
8,2010/02/10,1078,1705,4096,N\A
8,2010/02/18,888,1593,4096,N\A
8,2010/02/26,1467,2541,4096,N\A
8,2010/03/06,1253,2044,4096,N\A
8,2010/03/14,1153,1960,4096,N\A
8,2010/03/22,1796,2718,4096,N\A
8,2010/03/30,1677,2342,4096,N\A
8,2010/04/07,1477,2229,4096,N\A
8,2010/04/15,1473,2495,4096,N\A
8,2010/04/23,942,2074,4096,N\A
8,2010/05/01,1090,2194,4096,N\A
8,2010/05/09,1049,2672,4096,N\A
8,2010/05/17,616,2161,4096,N\A
8,2010/05/25,725,2384,4096,N\A
8,2010/06/02,649,3453,4096,N\A
8,2010/06/10,655,2450,4096,N\A
8,2010/06/18,695,3328,4096,N\A
8,2010/06/26,346,2740,4096,N\A
8,2010/07/04,616,2607,4096,N\A
8,2010/07/12,514,2632,4096,N\A
8,2010/07/20,471,2835,4096,N\A
8,2010/07/28,727,2947,4096,N\A
8,2010/08/05,464,4121,4096,N\A
8,2010/08/13,4856,6323,4096,N\A
8,2010/08/21,779,3211,4096,N\A
8,2010/08/29,1576,3229,4096,N\A
8,2010/09/06,483,2642,4096,N\A
8,2010/09/14,556,2617,4096,N\A
8,2010/09/22,838,3048,4096,N\A
8,2010/09/30,1020,3047,4096,N\A
8,2010/10/08,1219,3323,4096,N\A
8,2010/10/16,763,2239,4096,N\A
8,2010/10/24,1047,2910,4096,N\A
8,2010/11/01,746,1491,4096,N\A
8,2010/11/09,861,1849,4096,N\A
8,2010/11/17,855,1654,4096,N\A
8,2010/11/25,766,1250,4096,N\A
8,2010/12/03,851,1443,4096,N\A
8,2010/12/11,927,1427,4096,N\A
8,2010/12/19,986,1536,4096,N\A
8,2010/12/27,1117,1721,4096,N\A
8,2011/01/01,1008,1570,4096,N\A
8,2011/01/09,1160,1703,4096,N\A
8,2011/01/17,1179,1716,4096,N\A
8,2011/01/25,1191,1769,4096,N\A
8,2011/02/02,1188,1802,4096,N\A
8,2011/02/10,1276,1924,4096,N\A
8,2011/02/18,1257,1840,4096,N\A
8,2011/02/26,1167,1767,4096,N\A
8,2011/03/06,1369,2236,4096,N\A
8,2011/03/14,1430,2537,4096,N\A
8,2011/03/22,1529,2560,4096,N\A
8,2011/03/30,1218,2102,4096,N\A
8,2011/04/07,1059,1897,4096,N\A
8,2011/04/15,898,1863,4096,N\A
8,2011/04/23,1273,2474,4096,N\A
8,2011/05/01,1127,2162,4096,N\A
8,2011/05/09,975,2267,4096,N\A
8,2011/05/17,890,2339,4096,N\A
8,2011/05/25,1139,2821,4096,N\A
8,2011/06/02,1046,2297,4096,N\A
8,2011/06/10,1170,2419,4096,N\A
8,2011/06/18,1164,2773,4096,N\A
8,2011/06/26,640,2509,4096,N\A
8,2011/07/04,1612,2938,4096,N\A
8,2011/07/12,1610,3399,4096,N\A
8,2011/07/20,595,2430,4096,N\A
8,2011/07/28,569,2687,4096,N\A
8,2011/08/05,1313,3274,4096,N\A
8,2011/08/13,717,3325,4096,N\A
8,2011/08/21,469,2697,4096,N\A
8,2011/08/29,321,2329,4096,N\A
8,2011/09/06,439,2641,4096,N\A
8,2011/09/14,850,3785,4096,N\A
8,2011/09/22,787,3197,4096,N\A
8,2011/09/30,720,2364,4096,N\A
8,2011/10/08,1149,2403,4096,N\A
8,2011/10/16,585,1860,4096,N\A
8,2011/10/24,791,1963,4096,N\A
8,2011/11/01,926,2120,4096,N\A
8,2011/11/09,914,1765,4096,N\A
8,2011/11/17,866,1456,4096,N\A
8,2011/11/25,1068,1725,4096,N\A
8,2011/12/03,1118,1748,4096,N\A
8,2011/12/11,1007,1585,4096,N\A
8,2011/12/19,980,1496,4096,N\A
8,2011/12/27,1162,1673,4096,N\A
8,2012/01/01,1162,1673,4096,N\A
8,2012/01/09,1058,1569,4096,N\A
8,2012/01/17,1194,1830,4096,N\A
8,2012/01/25,1148,1639,4096,N\A
8,2012/02/02,1265,1848,4096,N\A
8,2012/02/10,1273,1828,4096,N\A
8,2012/02/18,1377,2001,4096,N\A
8,2012/02/26,1219,1816,4096,N\A
8,2012/03/05,1351,2014,4096,N\A
8,2012/03/13,1175,1856,4096,N\A
8,2012/03/21,1236,1911,4096,N\A
8,2012/03/29,1660,2362,4096,N\A
8,2012/04/06,1688,2401,4096,N\A
8,2012/04/14,922,2016,4096,N\A
8,2012/04/22,1267,2656,4096,N\A
8,2012/04/30,1294,2485,4096,N\A
8,2012/05/08,1061,2254,4096,N\A
8,2012/05/16,828,2154,4096,N\A
8,2012/05/24,985,2775,4096,N\A
8,2012/06/01,888,2615,4096,N\A
8,2012/06/09,1128,2596,4096,N\A
8,2012/06/17,771,3010,4096,N\A
8,2012/06/25,1361,2882,4096,N\A
8,2012/07/03,494,2553,4096,N\A
