1,36.690822481,118.712596893,27,5,1246,794
2,36.7231130556,118.60625267,27,5,1216,786
3,36.7352202425,118.585481644,27,5,1208,783
id,Date,Solar_zenith,Surface_reflectance_500m_state_flags,View_zenith,Surface_reflectance_day_of_year,Surface_reflectance_500m_quality_control_flags,Relative_azimuth,Surface_reflectance_for_band_7,Surface_reflectance_for_band_6,Surface_reflectance_for_band_5,Surface_reflectance_for_band_4,Surface_reflectance_for_band_3,Surface_reflectance_for_band_2,Surface_reflectance_for_band_1,actual_date
1,2010/07/28,2261,201,2292,212,1073741824,14080,2491,2951,2865,1242,700,2456,1406,2010/07/31
1,2010/08/05,2915,1033,4165,218,1073741824,-2952,3500,4055,4331,3470,3345,4014,3425,2010/08/06
1,2010/08/13,2824,8205,42,230,1073741824,1762,1303,1849,2025,772,402,1785,789,2010/08/18
1,2010/08/21,2600,1033,4777,233,1073741824,12621,1911,2552,2527,1992,2152,2579,1857,2010/08/21
1,2010/08/29,3339,200,3309,241,1073741824,-4141,1224,2089,2379,742,374,2358,694,2010/08/29
1,2010/09/06,3603,200,1188,255,1073741824,-4863,1196,2150,2637,1105,559,2839,974,2010/09/12
1,2010/09/14,3794,202,3299,257,1073741824,-4918,1242,2237,2784,1054,419,3012,838,2010/09/14
1,2010/09/22,3968,8206,1217,269,1073741824,11976,1070,1964,2570,933,279,2876,880,2010/09/26
1,2010/09/30,4325,200,43,278,1073741824,6372,893,1671,2320,697,352,2579,643,2010/10/05
1,2010/10/08,4657,200,4126,282,1073741824,-5633,886,1825,2536,748,373,2970,685,2010/10/09
1,2010/10/16,4880,202,15,294,1073741824,11771,1032,1918,2997,1435,692,3371,1391,2010/10/21
1,2010/10/24,5209,200,1196,303,1073741824,-6297,859,1504,2287,930,484,2535,917,2010/10/30
1,2010/11/01,5516,200,2299,312,1073741824,-6275,1277,1975,2701,1124,567,2794,1156,2010/11/08
1,2010/11/09,5671,202,1178,319,1073741824,-6459,1348,1869,2563,1239,616,2616,1288,2010/11/15
1,2010/11/17,5808,202,59,326,1075576832,4811,1607,2094,2471,1377,747,2666,1478,2010/11/22
1,2010/11/25,6019,202,1188,335,1073741824,-6261,1842,2298,2737,1530,853,2657,1683,2010/12/01
1,2010/12/03,6091,202,47,342,1073741824,4323,2037,2594,2630,1756,1023,2648,1956,2010/12/08
1,2010/12/11,6411,137,5430,348,1073741824,-6022,856,1788,4256,4996,4408,5540,5121,2010/12/14
1,2010/12/19,6204,202,36,358,1073741824,-4281,1257,1627,2204,1204,674,2066,1326,2010/12/24
1,2010/12/27,6159,200,1172,365,1073741824,11536,1591,1854,2159,1051,590,1868,1199,2010/12/31
1,2011/01/01,6226,202,1225,2,1073741824,-5842,1404,2004,2232,1356,775,2164,1475,2011/01/02
1,2011/01/09,6131,200,43,9,1073741824,-3642,1586,2013,1996,1109,669,1817,1280,2011/01/09
1,2011/01/17,5832,136,2255,23,1073741824,12005,1827,2064,2246,994,623,1732,1198,2011/01/23
1,2011/01/25,5873,202,56,25,1073741824,-2938,1841,2049,2162,1230,701,1818,1398,2011/01/25
1,2011/02/02,5705,200,1233,34,1073741824,-5435,1756,2229,2109,1106,683,1832,1296,2011/02/03
1,2011/02/10,5456,201,28,41,1073741824,-1614,1650,2296,2478,1756,1096,2381,1873,2011/02/10
1,2011/02/18,4879,73,4081,53,1073741824,12199,1916,2383,2672,2407,2484,2599,2315,2011/02/22
1,2011/02/26,4604,202,1190,64,1073741824,12491,919,1380,1446,797,568,1404,716,2011/03/05
1,2011/03/06,4640,200,1206,66,1073741824,-4978,1295,1872,1925,1084,698,1846,1132,2011/03/07
1,2011/03/14,4357,202,2327,75,1073741824,-4756,1590,2186,2470,1217,704,2281,1336,2011/03/16
1,2011/03/22,4020,202,1214,82,1073741824,-4926,1629,2356,2496,1413,758,2506,1476,2011/03/23
1,2011/03/30,3685,200,34,89,1073741824,209,1577,2324,2906,1310,798,2893,1279,2011/03/30
1,2011/04/07,3041,200,2283,103,1073741824,12845,1897,2731,3260,1336,755,3548,1333,2011/04/13
1,2011/04/15,3093,202,42,105,1073741824,1270,2000,2686,3385,1522,851,3276,1614,2011/04/15
1,2011/04/23,2866,200,1196,114,1073741824,-4206,1437,2510,3694,1208,566,3959,1135,2011/04/24
1,2011/05/01,2586,200,37,121,1073741824,5601,1529,2544,3408,1262,623,3801,1207,2011/05/01
1,2011/05/09,2572,200,3299,132,1073741824,-3349,1431,2430,3697,1116,493,3828,1016,2011/05/12
1,2011/05/17,2214,200,45,137,1073741824,4831,1843,2794,3785,1199,638,3764,1174,2011/05/17
1,2011/05/25,2165,201,1205,146,1073741824,-3094,1908,2871,3769,1274,576,3684,1250,2011/05/26
1,2011/06/02,2006,202,35,153,1073741824,-6299,2812,3663,4129,1530,842,3596,1661,2011/06/02
1,2011/06/10,2059,201,1242,162,1073741824,-2637,2900,3661,4057,1561,887,3358,1747,2011/06/11
1,2011/06/18,1961,73,79,169,1073741824,2481,2524,3055,3369,3128,2963,3249,2983,2011/06/18
1,2011/06/26,2315,201,3328,180,1073741824,-2125,2443,3162,3003,1368,806,2702,1472,2011/06/29
1,2011/07/04,1826,201,3264,190,1073741824,14471,3040,3411,3076,1340,838,2662,1532,2011/07/09
1,2011/07/12,2706,201,4844,198,1073741824,-2189,2180,2722,2895,1087,495,2493,1069,2011/07/17
1,2011/07/20,2238,1033,3,201,1073741824,-3018,2805,3774,3667,2952,2750,3504,2863,2011/07/20
1,2011/07/28,2704,8205,3299,212,1073741824,-2857,2114,2851,3118,1897,1745,2778,1813,2011/07/31
1,2011/08/05,2407,1033,3274,222,1073741824,13544,692,1478,2528,3414,3741,3090,3123,2011/08/10
1,2011/08/13,3486,200,5928,232,1073741824,-3265,852,1552,1885,557,211,2036,481,2011/08/20
1,2011/08/29,3211,1033,1214,242,1073741824,-4519,1282,1940,2552,1272,983,2162,1140,2011/08/30
1,2011/09/06,3350,202,21,249,1073741824,-4984,1557,2256,2495,1149,701,2416,1157,2011/09/06
1,2011/09/14,4293,200,5941,264,1073741824,-4608,1103,2024,2449,601,212,2779,487,2011/09/21
1,2011/09/22,3871,200,68,265,1073741824,-2360,999,1630,2091,791,377,1968,763,2011/09/22
1,2011/09/30,4398,200,3319,276,1073741824,-5469,1062,1763,2379,836,410,2215,828,2011/10/03
1,2011/10/08,4423,200,3,281,1073741824,-6366,975,1801,2087,852,514,2125,637,2011/10/08
1,2011/10/16,4773,136,1187,290,1073741824,-6126,1134,1767,2343,869,458,2137,877,2011/10/17
1,2011/10/24,5429,201,5430,303,1073741824,-5918,1253,2139,2433,1148,621,2620,999,2011/10/30
1,2011/11/01,5295,202,1196,306,1073741824,-6414,1190,1941,2300,1303,622,2453,1256,2011/11/02
1,2011/11/09,5470,200,22,313,1073741824,-1024,970,1655,1990,973,472,2037,977,2011/11/09
1,2011/11/17,5865,200,3347,324,1073741824,-6203,926,1554,2105,741,325,1867,745,2011/11/20
1,2011/11/25,5870,200,69,329,1073741824,-5029,1079,1574,2064,948,461,1892,951,2011/11/25
1,2011/12/03,6417,32969,5918,344,1075576832,-5959,1020,1608,1615,2292,1784,3078,2164,2011/12/10
1,2011/12/11,6123,200,51,345,1073741824,5361,959,1357,1781,549,171,1371,659,2011/12/11
1,2011/12/19,6138,200,2338,359,1073741824,11470,1422,1878,1833,883,522,1550,1029,2011/12/25
1,2011/12/27,6143,200,1235,3,1073741824,11666,1637,1911,2223,792,426,1512,986,2011/01/03
2,2009/01/01,6118,136,2246,1,1073741824,11577,1729,2197,2121,856,572,1920,1078,2009/01/01
2,2009/01/09,6199,138,3346,14,1073741824,-5808,2192,2477,2754,1165,781,2283,1461,2009/01/14
2,2009/01/17,5978,136,73,19,1073741824,-2148,2000,2440,2244,1132,750,2063,1371,2009/01/19
2,2009/01/25,5793,136,1145,26,1073741824,11895,2048,2284,2363,916,584,1947,1189,2009/01/26
2,2009/02/02,5720,201,4184,39,1073741824,-5304,2375,2842,2981,1524,950,2663,1798,2009/02/08
2,2009/02/10,5511,201,4875,48,1073741824,-5072,2457,3078,3048,1452,857,2768,1709,2009/02/17
2,2009/02/18,5110,72,69,51,1073741824,-7012,2042,2480,2459,1058,655,2232,1326,2009/02/20
2,2009/02/26,4809,202,1126,58,1073741824,12486,1954,2358,2533,1086,668,2269,1335,2009/02/27
2,2009/03/06,4494,136,2256,65,1073741824,12380,1848,2166,2412,842,575,2059,1050,2009/03/06
2,2009/03/14,4229,136,1243,76,1073741824,-4745,2154,2565,2839,1147,677,2565,1370,2009/03/17
2,2009/03/22,3862,136,2265,81,1073741824,12481,1614,1995,2357,805,519,2122,970,2009/03/22
2,2009/03/30,3562,200,1162,90,1073741824,12979,991,1486,1981,599,386,1988,664,2009/03/31
2,2009/04/07,3284,200,70,99,1073741824,1617,1475,1989,2515,880,549,2540,982,2009/04/09
2,2009/04/15,2970,200,1171,106,1073741824,13224,1143,1823,2601,723,393,2861,748,2009/04/16
2,2009/04/23,2741,200,67,115,1073741824,2644,1514,2128,2896,925,503,3141,972,2009/04/25
2,2009/05/01,2563,200,1224,124,1073741824,-3855,1704,2289,2910,955,569,3127,1020,2009/05/04
2,2009/05/09,2445,136,2353,133,1073741824,-3525,1549,2206,3012,886,474,3072,939,2009/05/13
2,2009/05/17,2100,200,1163,138,1073741824,13788,1525,2093,2685,885,498,2672,975,2009/05/18
2,2009/05/25,1757,136,3227,152,1073741824,13953,1679,2161,2593,910,564,2425,1058,2009/06/01
2,2009/06/02,1899,200,1136,154,1073741824,14393,1682,2187,2488,995,585,2378,1123,2009/06/03
2,2009/06/10,1777,136,2246,161,1073741824,14381,1700,2306,2575,922,576,2186,1134,2009/06/10
2,2009/06/18,2062,136,1288,172,1075576835,-2333,2527,3255,-28672,1276,797,2767,1487,2009/06/21
2,2009/06/26,1463,200,5800,180,1073741824,13092,1595,2253,2409,780,515,2251,917,2009/06/29
2,2009/07/04,2686,202,5484,185,1073741824,-1815,1748,2734,3169,870,554,2977,953,2009/07/04
2,2009/07/12,2161,8206,131,195,1073741824,-3703,1600,2502,3182,1106,552,3171,1039,2009/07/14
2,2009/07/20,1857,1034,5308,205,1073741824,13261,1251,2170,3166,1626,1621,3725,1479,2009/07/24
2,2009/07/28,1956,206,5800,212,1073741824,12780,929,1813,2901,409,188,3343,427,2009/07/31
2,2009/08/05,2383,1033,4032,223,1073741824,13213,1855,2848,3738,2964,3021,4005,2770,2009/08/11
2,2009/08/13,2561,200,2219,225,1073741824,13468,836,1650,2611,525,276,2807,470,2009/08/13
2,2009/08/21,3062,200,1286,236,1073741824,-4251,775,1843,3042,545,217,3288,432,2009/08/24
2,2009/08/29,3186,200,86,243,1073741824,-5970,792,1694,2695,585,247,3036,477,2009/08/31
2,2009/09/06,3238,8206,5318,253,1073741824,11777,1223,2059,3092,460,319,3337,567,2009/09/10
2,2009/09/14,3725,136,3217,264,1073741824,11995,868,1696,2766,599,311,2795,577,2009/09/21
