site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.46741944,116.6451222,28,6,373,127
2,29.01164167,116.6422833,28,6,481,237
3,29.12755833,116.5612694,28,6,436,209
4,28.61323056,116.4501361,28,6,534,332
5,28.68159722,116.4612167,28,6,521,316
6,28.61115278,116.4471611,28,6,534,333
7,28.82416111,116.4363528,28,6,482,282
8,28.88801389,116.514125,28,6,483,266
9,29.05591667,116.550125,28,6,451,226
10,29.13203611,116.585375,28,6,440,208
id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2001/08/29,2746,72,1240,246,1073741824,-4047,1294,2405,3354,775,369,3728,705,2001/09/03
1,2001/09/06,2862,136,26,253,1073741824,-17420,1131,2082,2999,692,326,3167,646,2001/09/10
1,2001/09/14,3204,136,1295,262,1073741824,-4894,1561,2611,3358,872,436,3419,933,2001/09/19
1,2001/09/22,3361,136,37,269,1073741824,6064,1202,2167,2966,804,411,3135,781,2001/09/26
1,2001/09/30,3717,136,1295,278,1073741824,-5429,1461,2359,3058,844,454,2870,917,2001/10/05
1,2001/10/08,4068,136,2445,287,1073741824,-5682,1451,2375,2975,836,454,2704,927,2001/10/14
1,2001/10/16,4092,72,1372,292,1073741824,11549,1640,2467,2851,855,495,2493,1020,2001/10/19
1,2001/10/24,4584,136,2536,303,1073741824,-6045,1661,2499,2716,875,516,2346,1032,2001/10/30
1,2001/11/01,4898,200,3552,312,1073741824,-6087,1302,2212,2587,809,461,2260,889,2001/11/08
1,2001/11/09,5040,136,2536,319,1073741824,-6187,1614,2452,2716,892,532,2392,1085,2001/11/15
1,2001/11/17,5165,72,1286,326,1073741824,-6393,1538,2375,2655,859,528,2322,1000,2001/11/22
1,2001/11/25,5164,200,2531,331,1073741824,11317,1582,2277,2453,912,557,2143,1099,2001/11/27
1,2001/12/03,5454,1033,1268,342,1073741824,-6317,4383,6071,6736,6876,6865,7025,6828,2001/12/08
1,2001/12/11,5399,8204,2485,347,1073741824,11485,913,1668,2015,1066,726,2152,1159,2001/12/13
1,2001/12/19,5582,136,1333,358,1073741824,-5807,1096,1800,2407,762,412,2119,813,2001/12/24
1,2001/12/27,5454,200,2485,363,1073741824,11774,1096,1843,2156,819,475,1973,901,2001/12/29id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2002/01/01,5448,136,1262,7,1073741824,12038,1329,1933,2396,772,455,2041,932,2002/01/07
1,2002/01/09,5528,136,1350,9,1073741824,-5665,1608,2347,2581,875,532,2271,1097,2002/01/09
1,2002/01/17,5678,136,5685,22,1073741824,-5178,1570,2524,3077,985,535,2707,1112,2002/01/22
1,2002/01/25,5376,136,3515,27,1073741824,-5224,1230,2147,2672,861,497,2501,931,2002/01/27
1,2002/02/02,4836,200,1263,39,1073741824,12291,1225,1919,2188,674,392,2014,783,2002/02/08
1,2002/02/10,4904,200,1369,41,1073741824,-4929,1245,1948,2539,867,463,2341,969,2002/02/10
1,2002/02/18,4698,1033,2528,50,1073741824,-4843,2523,3326,3745,3158,3095,3681,3080,2002/02/19
1,2002/02/26,3970,1033,4362,60,1073741824,12482,4062,5398,5688,5790,5808,6013,5732,2002/03/01
1,2002/03/06,4148,136,2527,66,1073741824,-4569,1141,1960,2491,980,512,2570,997,2002/03/07
1,2002/03/14,3907,136,3580,75,1073741824,-4167,971,1823,2489,869,425,2662,802,2002/03/16
1,2002/03/22,2693,1033,6506,88,1073741824,12018,1796,2429,2868,2849,2835,3134,2737,2002/03/29
1,2002/03/30,3218,136,1331,89,1073741824,-3979,953,1659,2248,802,392,2298,787,2002/03/30
1,2002/04/07,2997,136,2564,98,1073741824,-3588,1059,1883,2566,927,465,2565,929,2002/04/08
1,2002/04/15,2362,1033,32,112,1073741824,-5492,4313,5576,5716,4984,4763,5643,5062,2002/04/22
1,2002/04/23,2865,1033,5706,118,1073741824,-2224,2200,3193,3366,2219,1731,3625,2299,2002/04/28
