         88486 function calls (86039 primitive calls) in 0.412 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       92    0.000    0.000    0.000    0.000 threadsafe.py:60(_set_argtypes)
        9    0.000    0.000    0.000    0.000 options.py:113(_prepare)
       74    0.000    0.000    0.000    0.000 sre_parse.py:184(__init__)
        1    0.000    0.000    0.000    0.000 operations.py:51(PostGISRelate)
        6    0.000    0.000    0.000    0.000 related.py:90(contribute_to_class)
        1    0.000    0.000    0.000    0.000 measure.py:37(<module>)
        1    0.000    0.000    0.000    0.000 options.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dictconfig.py:551(dictConfig)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:45(filterwarnings)
      166    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
        1    0.000    0.000    0.000    0.000 dictconfig.py:272(configure)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 models.py:14(Datainfo)
        1    0.000    0.000    0.000    0.000 errcheck.py:3(<module>)
        1    0.000    0.000    0.000    0.000 models.py:71(File)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
       47    0.000    0.000    0.000    0.000 {all}
        5    0.000    0.000    0.000    0.000 related.py:890(contribute_to_class)
        8    0.000    0.000    0.000    0.000 operations.py:34(__init__)
      128    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      893    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 query_utils.py:7(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
      354    0.000    0.000    0.000    0.000 __init__.py:122(__cmp__)
        1    0.000    0.000    0.000    0.000 query.py:648(order_by)
        1    0.000    0.000    0.000    0.000 linestring.py:1(<module>)
       54    0.000    0.000    0.000    0.000 datastructures.py:110(__init__)
        1    0.000    0.000    0.000    0.000 uploadedfile.py:3(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       19    0.000    0.000    0.000    0.000 loading.py:182(get_model)
        1    0.000    0.000    0.000    0.000 query.py:751(_clone)
        1    0.000    0.000    0.000    0.000 global_settings.py:6(<module>)
        9    0.000    0.000    0.000    0.000 options.py:28(__init__)
        5    0.000    0.000    0.000    0.000 related.py:818(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:122(extend_all)
        1    0.000    0.000    0.000    0.000 query.py:44(clone)
        1    0.000    0.000    0.000    0.000 where.py:3(<module>)
        1    0.000    0.000    0.000    0.000 generation.py:4(<module>)
        1    0.000    0.000    0.000    0.000 query.py:223(clone)
        1    0.000    0.000    0.000    0.000 color.py:3(<module>)
      272    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       73    0.000    0.000    0.000    0.000 {_sre.compile}
        9    0.000    0.000    0.000    0.000 extras.py:239(__init__)
      377    0.000    0.000    0.000    0.000 collections.py:43(<genexpr>)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:138(__init__)
      166    0.000    0.000    0.000    0.000 sre_parse.py:89(closegroup)
        9    0.000    0.000    0.000    0.000 extras.py:243(getdoc)
        1    0.000    0.000    0.000    0.000 forms.py:3(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
      831    0.000    0.000    0.000    0.000 {built-in method group}
      632    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      153    0.000    0.000    0.000    0.000 __init__.py:69(__setattr__)
        9    0.000    0.000    0.000    0.000 loading.py:193(register_models)
      485    0.000    0.000    0.000    0.000 {_sre.getlower}
      228    0.000    0.000    0.000    0.000 sre_compile.py:57(fixup)
        1    0.000    0.000    0.000    0.000 safestring.py:6(<module>)
       24    0.000    0.000    0.000    0.000 operations.py:22(__init__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3(get_version)
     12/4    0.000    0.000    0.000    0.000 copy.py:144(deepcopy)
       12    0.000    0.000    0.000    0.000 libgdal.py:47(std_call)
      154    0.000    0.000    0.000    0.000 <string>:8(__new__)
      146    0.000    0.000    0.000    0.000 sre_compile.py:480(isstring)
        1    0.000    0.000    0.000    0.000 random.py:90(__init__)
        1    0.000    0.000    0.000    0.000 collections.py:4(<module>)
        6    0.000    0.000    0.000    0.000 options.py:281(get_field)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       92    0.000    0.000    0.000    0.000 threadsafe.py:74(_set_restype)
        1    0.000    0.000    0.000    0.000 random.py:99(seed)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
       26    0.000    0.000    0.000    0.000 core.py:816(__init__)
      117    0.000    0.000    0.000    0.000 __init__.py:396(_get_choices)
       54    0.000    0.000    0.000    0.000 datastructures.py:105(__new__)
        1    0.000    0.000    0.000    0.000 subqueries.py:3(<module>)
        2    0.000    0.000    0.000    0.000 expressions.py:1(<module>)
       56    0.000    0.000    0.000    0.000 utils.py:157(deprecate)
        1    0.000    0.000    0.000    0.000 formsets.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7119(__init__)
        2    0.000    0.000    0.000    0.000 {method 'fetchone' of 'psycopg2._psycopg.cursor' objects}
     1245    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:83(CFUNCTYPE)
        6    0.000    0.000    0.000    0.000 related.py:120(do_related_class)
