Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
06/10/2014,3361,4732,1326,2382,5936,6377,5854,1073741824,1856,3463,-13580,136,168,06/17/2014,0.3361,0.4732,0.1326,0.2382,0.5936,0.6377,0.5854,0.1694056592116644,0.1373582334789404,-0.14807813484562066,-0.10598904213111657,-0.4561022947825094,-0.11286089238845144,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.1694056592116644,0.1373582334789404,-0.14807813484562066,-0.10598904213111657,-0.4561022947825094,-0.11286089238845144
06/18/2014,3479,4899,1425,2527,6251,6650,6207,1073741824,2389,1985,3485,200,172,06/21/2014,0.3479,0.4899,0.1425,0.2527,0.6251,0.665,0.6207,0.1694915254237288,0.1415160152279205,-0.15161485842930122,-0.11777417612101566,-0.4492753623188406,-0.12125560538116592,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.1694915254237288,0.1415160152279205,-0.15161485842930122,-0.11777417612101566,-0.4492753623188406,-0.12125560538116592
06/26/2014,3554,4932,1442,2496,5858,6862,6145,1073741824,2284,588,3563,136,179,06/28/2014,0.3554,0.4932,0.1442,0.2496,0.5858,0.6862,0.6145,0.16238510487862362,0.13541134389371487,-0.16364253010005086,-0.10950618398483344,-0.46655268219705065,-0.08582020389249305,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.16238510487862362,0.13541134389371487,-0.16364253010005086,-0.10950618398483344,-0.46655268219705065,-0.08582020389249305
07/04/2014,3531,4917,1406,2515,6401,6804,6339,1073741824,2434,2039,3351,200,188,07/07/2014,0.3531,0.4917,0.1406,0.2515,0.6401,0.6804,0.6339,0.1640625,0.13557398857500588,-0.16099308932684925,-0.1263326226012793,-0.46024251529134025,-0.13111857218589856,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.1640625,0.13557398857500588,-0.16099308932684925,-0.1263326226012793,-0.46024251529134025,-0.13111857218589856
07/12/2014,3220,4459,1313,2275,5448,6364,5676,1073741824,2030,2202,-14458,136,193,07/12/2014,0.322,0.4459,0.1313,0.2275,0.5448,0.6364,0.5676,0.16134913400182316,0.12943192027244427,-0.17601404416520372,-0.12007893438579181,-0.4733186711424933,-0.09982840415867568,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.16134913400182316,0.12943192027244427,-0.17601404416520372,-0.12007893438579181,-0.4733186711424933,-0.09982840415867568
07/20/2014,3295,4520,1368,2346,5447,6400,5895,1073741824,1701,4333,-14755,136,207,07/26/2014,0.3295,0.452,0.1368,0.2346,0.5447,0.64,0.5895,0.15674984005118361,0.127444860590928,-0.17216117216117216,-0.13202112337974076,-0.46352618339812485,-0.09300692284538979,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.15674984005118361,0.127444860590928,-0.17216117216117216,-0.13202112337974076,-0.46352618339812485,-0.09300692284538979
07/28/2014,3190,4403,1336,2283,5378,6429,5768,1073741824,1966,2166,-15396,137,209,07/28/2014,0.319,0.4403,0.1336,0.2283,0.5378,0.6429,0.5768,0.1597524035295667,0.12891637971347192,-0.1870384047267356,-0.13420509291121818,-0.4758953168044077,-0.09968305899192312,0000000010001001,cloudy,no,land,average,none,no cloud,no fire,no,no,no,no,Yes,NA,0.1597524035295667,0.12891637971347192,-0.1870384047267356,-0.13420509291121818,-0.4758953168044077,-0.09968305899192312
08/05/2014,3845,5376,1670,2893,6220,6939,5855,1073741824,2055,812,-15807,201,218,08/06/2014,0.3845,0.5376,0.167,0.2893,0.622,0.6939,0.5855,0.16603405270578028,0.14766019829481888,-0.1269183922046285,-0.04264980856557742,-0.41151342554922704,-0.07278371852362883,0000000011001001,cloudy,no,land,high,none,no cloud,no fire,no,no,no,no,Yes,NA,0.16603405270578028,0.14766019829481888,-0.1269183922046285,-0.04264980856557742,-0.41151342554922704,-0.07278371852362883
08/13/2014,3700,5096,1496,2667,5848,6804,5917,1073741824,1869,2220,-16491,73,225,08/13/2014,0.37,0.5096,0.1496,0.2667,0.5848,0.6804,0.5917,0.15870850386539337,0.13383954594262923,-0.14352941176470588,-0.07454826114591846,-0.43680709534368073,-0.06871345029239766,0000000001001001,cloudy,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,NA,0.15870850386539337,0.13383954594262923,-0.14352941176470588,-0.07454826114591846,-0.43680709534368073,-0.06871345029239766
08/21/2014,3196,6086,1353,2663,6356,6237,4528,1073741824,2868,5715,208,201,240,08/28/2014,0.3196,0.6086,0.1353,0.2663,0.6356,0.6237,0.4528,0.31135531135531136,0.28768241454140037,-0.012253509697313966,0.1467872621066516,-0.4015730337078652,-0.021700691207201413,0000000011001001,cloudy,no,land,high,none,no cloud,no fire,no,no,no,no,Yes,NA,0.31135531135531136,0.28768241454140037,-0.012253509697313966,0.1467872621066516,-0.4015730337078652,-0.021700691207201413
08/29/2014,2884,4811,1157,2244,5576,5819,4810,1073741824,2132,598,128,201,243,08/31/2014,0.2884,0.4811,0.1157,0.2244,0.5576,0.5819,0.481,0.25042235217673814,0.20554666666666666,-0.09482596425211665,0.00010393929944912172,-0.4433833560709413,-0.07364975450081833,0000000011001001,cloudy,no,land,high,none,no cloud,no fire,no,no,no,no,Yes,NA,0.25042235217673814,0.20554666666666666,-0.09482596425211665,0.00010393929944912172,-0.4433833560709413,-0.07364975450081833
09/06/2014,2653,5129,1105,2117,5616,5684,4191,1073741824,2906,5715,-1035,137,256,09/13/2014,0.2653,0.5129,0.1105,0.2117,0.5616,0.5684,0.4191,0.31817013621177076,0.2719743403853336,-0.05132710626098215,0.10064377682403433,-0.45724907063197023,-0.04532340623545835,0000000010001001,cloudy,no,land,average,none,no cloud,no fire,no,no,no,no,Yes,NA,0.31817013621177076,0.2719743403853336,-0.05132710626098215,0.10064377682403433,-0.45724907063197023,-0.04532340623545835
09/14/2014,2591,4452,1030,1923,5136,5432,4246,1073741824,1957,2247,15865,136,257,09/14/2014,0.2591,0.4452,0.103,0.1923,0.5136,0.5432,0.4246,0.26423399119693314,0.2088851973241144,-0.09915014164305949,0.023683605426534835,-0.4770904146838885,-0.07133917396745933,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.26423399119693314,0.2088851973241144,-0.09915014164305949,0.023683605426534835,-0.4770904146838885,-0.07133917396745933
09/22/2014,2806,4618,1110,1999,5806,5693,4773,1075838976,2222,839,14897,136,266,09/23/2014,0.2806,0.4618,0.111,0.1999,0.5806,0.5693,0.4773,0.24407327586206898,0.19585801374897316,-0.1042575889826399,-0.01650516451922053,-0.48023920956838273,-0.11396776669224866,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.24407327586206898,0.19585801374897316,-0.1042575889826399,-0.01650516451922053,-0.48023920956838273,-0.11396776669224866
