site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,49.694069,114.708312,25,4,502,36
2,39.872149,124.290871,27,5,645,14
3,29.187812,115.934329,28,6,144,96
4,28.865268,116.268557,28,6,217,135
id,Date,Night_view_time,Clear_sky_days,Clear_sky_nights,LST_Night_1km,QC_Day,Night_view_angl,QC_Night,Emis_32,Day_view_time,Emis_31,LST_Day_1km,Day_view_angl,real_date
1,2009/09/14,218,51,35,13927,65,62,0,247,110,245,14592,50,N\A
1,2009/09/22,218,238,103,13678,0,64,0,247,109,245,14470,49,N\A
1,2009/09/30,216,255,235,13682,0,49,0,247,109,245,14361,43,N\A
1,2009/10/08,214,127,127,13573,0,36,0,247,110,245,14454,51,N\A
1,2009/10/16,217,104,212,13403,17,51,65,246,114,244,13927,83,N\A
1,2009/10/24,215,112,171,13149,65,35,65,247,108,246,13655,42,N\A
1,2009/11/01,217,139,69,12905,65,52,65,248,111,247,13552,62,N\A
1,2009/11/09,221,84,66,12638,65,79,65,248,112,248,13157,69,N\A
1,2009/11/17,218,42,4,12631,0,56,65,250,113,251,13068,78,N\A
1,2009/11/25,210,125,148,12475,65,8,81,249,113,250,12824,74,N\A
1,2009/12/03,216,168,150,12183,65,47,81,248,111,248,12719,60,N\A
1,2009/12/11,215,94,254,12104,65,37,81,249,110,249,12487,49,N\A
1,2009/12/19,218,17,193,12131,0,61,145,250,106,251,12611,22,N\A
1,2009/12/27,216,8,31,11815,81,47,145,248,105,248,12187,15,N\A
2,2006/01/01,255,142,0,0,65,255,2,248,109,249,13570,62,N\A
2,2006/01/09,223,34,196,13315,65,88,65,246,103,247,13585,13,N\A
2,2006/01/17,223,106,10,13488,65,95,65,248,112,249,13554,93,N\A
2,2006/01/25,219,4,12,13394,65,54,65,247,112,246,13712,95,N\A
2,2006/02/02,219,201,160,13371,65,53,65,248,110,248,13471,70,N\A
2,2006/02/10,221,197,87,13477,65,72,65,248,112,247,13665,94,N\A
2,2006/02/18,219,48,33,13568,0,49,65,247,106,247,13758,36,N\A
2,2006/02/26,224,49,144,13565,65,97,65,247,109,248,13720,63,N\A
2,2006/03/06,219,167,167,13596,65,52,65,247,108,247,13801,52,N\A
2,2006/03/14,217,241,48,13604,65,40,65,246,110,247,13902,72,N\A
2,2006/03/22,219,88,143,13662,65,57,65,247,110,247,13921,72,N\A
2,2006/03/30,219,83,75,13659,0,50,65,247,110,248,14079,66,N\A
2,2006/04/07,218,218,184,13829,0,50,0,247,114,248,14272,97,N\A
2,2006/04/15,219,64,33,13741,0,57,0,246,108,247,14449,53,N\A
2,2006/04/23,223,18,51,13880,0,83,0,247,108,247,14318,56,N\A
2,2006/05/01,222,233,99,14107,0,79,0,246,112,246,14381,83,N\A
2,2006/05/09,216,165,241,14144,0,29,65,247,107,247,14526,39,N\A
2,2006/05/17,218,129,36,14184,0,50,0,246,116,246,14459,114,N\A
2,2006/05/25,224,58,216,14284,0,95,65,246,109,247,14572,65,N\A
2,2006/06/02,255,16,0,0,65,255,2,247,110,247,14650,76,N\A
2,2006/06/10,221,40,198,14373,0,72,65,247,111,247,14534,75,N\A
2,2006/06/18,219,240,64,14509,65,53,65,247,113,247,14558,93,N\A
2,2006/06/26,220,164,6,14491,65,62,65,247,107,248,14762,41,N\A
2,2006/07/04,217,0,26,14555,2,38,65,247,255,247,0,255,N\A
2,2006/07/12,223,0,67,14585,2,87,65,247,255,247,0,255,N\A
2,2006/07/20,221,12,68,14398,0,75,65,248,108,248,14670,54,N\A
2,2006/07/28,221,0,130,14684,2,74,65,248,255,247,0,255,N\A
2,2006/08/05,217,9,108,14628,65,41,65,247,109,247,14645,62,N\A
2,2006/08/13,222,112,226,14726,0,83,65,247,110,247,14880,64,N\A
2,2006/08/21,219,0,32,14662,2,53,65,247,255,248,0,255,N\A
2,2006/08/29,215,24,21,14649,0,19,65,247,116,247,14788,108,N\A
2,2006/09/06,221,241,241,14494,0,72,65,247,110,247,14663,72,N\A
2,2006/09/14,217,190,222,14546,0,43,65,247,108,247,14797,53,N\A
2,2006/09/22,220,199,67,14550,0,63,65,247,111,247,14737,80,N\A
2,2006/09/30,220,119,254,14489,0,63,65,247,109,247,14692,58,N\A
2,2006/10/08,216,27,2,14550,0,24,65,247,108,247,14557,55,N\A
2,2006/10/16,221,21,138,14331,0,77,65,247,104,247,14519,18,N\A
2,2006/10/24,221,116,84,14170,65,74,65,247,108,248,14390,57,N\A
2,2006/11/01,219,150,235,14132,65,55,65,247,107,247,14301,43,N\A
2,2006/11/09,219,240,12,14011,0,54,0,247,109,247,14061,62,N\A
2,2006/11/17,219,100,160,13843,65,53,65,247,110,247,13957,67,N\A
2,2006/11/25,220,172,80,13722,65,65,65,246,108,246,13823,56,N\A
2,2006/12/03,219,247,137,13582,65,54,65,247,108,247,13700,55,N\A
2,2006/12/11,221,252,16,13501,65,76,65,246,112,247,13746,79,N\A
2,2006/12/19,222,120,224,13646,65,76,65,247,110,248,13759,70,N\A
2,2006/12/27,255,1,0,0,65,255,2,247,115,247,13679,111,N\A
2,2007/01/01,219,206,58,13494,65,52,65,248,109,249,13645,59,N\A
2,2007/01/09,220,63,37,13380,65,68,65,249,111,248,13563,77,N\A
2,2007/01/17,221,71,88,13574,65,75,65,247,114,247,13681,96,N\A
2,2007/01/25,219,168,228,13429,65,57,65,247,113,247,13638,94,N\A
2,2007/02/02,221,54,87,13563,65,73,65,247,111,248,13758,73,N\A
2,2007/02/10,217,231,208,13604,65,38,65,246,108,246,13774,49,N\A
2,2007/02/26,223,39,6,13638,65,83,65,247,108,247,14040,51,N\A
2,2007/03/06,220,244,114,13559,65,66,65,247,110,247,13844,67,N\A
2,2007/03/14,221,63,237,13658,65,68,65,247,109,247,14013,57,N\A
