8,10.865556,-3.072778,17,7,837,1096
9,13.2829,30.4783,20,7,1159,806

No data
No dataid,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
8,2008/06/09,15334,65,135,66,14747,0,17,70,246,247,100,201,N\A
8,2008/06/17,15238,65,137,87,14721,0,18,80,246,248,46,88,N\A
8,2008/06/25,15173,65,136,67,0,2,255,255,246,248,12,0,N\A
8,2008/07/03,15364,65,134,48,14758,0,17,66,246,248,1,26,N\A
8,2008/07/11,14998,65,135,56,14842,0,17,69,246,249,66,1,N\A
8,2008/07/19,15116,65,135,62,14803,0,19,96,246,248,128,64,N\A
8,2008/07/27,14937,0,131,19,14818,65,15,40,246,248,34,4,N\A
8,2008/08/04,15210,65,135,61,14707,65,22,111,246,248,141,68,N\A
8,2008/08/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
8,2008/08/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
8,2008/08/28,14920,65,136,79,14793,0,20,91,246,247,28,137,N\A
8,2008/09/05,15078,0,132,29,14708,65,22,112,246,248,17,68,N\A
8,2008/09/13,15199,65,138,102,14756,0,21,106,245,247,16,32,N\A
8,2008/09/21,15137,0,132,29,14678,65,16,56,246,248,17,146,N\A
8,2008/09/29,15058,65,135,59,14688,0,14,36,246,248,24,208,N\A
8,2008/10/07,15208,0,133,36,14756,0,14,27,246,248,149,130,N\A
8,2008/10/15,15462,0,137,90,14797,0,19,86,246,248,80,161,N\A
8,2008/10/23,15537,0,135,67,14732,0,18,72,246,248,191,126,N\A
8,2008/10/31,15634,0,135,63,14543,0,17,54,246,248,124,245,N\A
8,2008/11/08,15769,0,135,67,14504,0,19,72,246,248,191,126,N\A
8,2008/11/16,15863,0,136,70,14414,0,19,74,246,248,94,188,N\A
8,2008/11/24,15967,0,135,67,14532,0,17,62,246,248,191,254,N\A
8,2008/12/02,15648,0,136,69,14443,0,18,67,246,248,127,249,N\A
8,2008/12/10,15958,0,136,77,14529,0,19,77,246,248,175,54,N\A
8,2008/12/18,15787,0,135,60,14524,65,18,63,246,248,123,252,N\A
8,2008/12/26,15785,0,136,77,14500,65,18,68,246,248,59,62,N\A
8,2009/01/01,15727,0,135,60,14477,0,17,56,246,248,188,215,N\A
8,2009/01/09,15845,0,135,66,14503,0,15,31,246,248,125,9,N\A
8,2009/01/17,15528,0,133,46,14306,0,16,49,246,248,226,3,N\A
8,2009/01/25,15945,0,136,69,14416,0,18,70,246,248,253,250,N\A
8,2009/02/02,16195,0,137,80,14687,0,21,99,246,248,90,164,N\A
8,2009/02/10,15954,0,137,77,14609,0,17,60,246,248,61,59,N\A
8,2009/02/18,15565,0,136,65,14500,0,18,71,246,248,216,244,N\A
8,2009/02/26,15728,0,136,66,14659,65,19,76,246,248,125,98,N\A
8,2009/03/06,16138,0,136,72,14625,0,15,37,246,248,26,22,N\A
8,2009/03/14,15829,0,138,82,14760,65,13,12,246,248,165,128,N\A
8,2009/03/22,15840,0,135,58,14722,0,16,48,246,248,58,3,N\A
8,2009/03/30,16012,0,138,93,14820,0,14,21,246,248,161,160,N\A
8,2009/04/07,16065,65,137,69,14698,65,18,69,246,248,38,4,N\A
8,2009/04/15,16020,65,137,75,14758,0,14,23,246,248,177,137,N\A
8,2009/04/23,15264,0,131,15,14953,0,16,40,246,248,32,16,N\A
8,2009/05/01,15242,65,138,92,14717,0,15,39,246,248,161,35,N\A
8,2009/05/09,15545,65,135,57,14697,65,21,106,246,248,58,128,N\A
8,2009/05/17,15746,65,136,69,14709,65,14,84,246,248,253,208,N\A
8,2009/05/25,15509,0,135,61,14796,0,20,91,246,248,144,177,N\A
8,2009/06/02,15851,0,135,62,14863,0,16,43,246,248,5,43,N\A
8,2009/06/10,15345,0,135,62,14724,0,19,73,246,248,2,144,N\A
8,2009/06/18,15357,65,139,111,14587,0,22,115,246,248,32,64,N\A
8,2009/06/26,15260,65,134,56,14732,0,18,73,246,248,194,197,N\A
8,2009/07/04,15328,65,134,47,14796,65,17,54,246,248,4,8,N\A
8,2009/07/12,15219,65,139,103,14815,65,18,72,246,247,86,148,N\A
8,2009/07/20,15536,65,135,62,14796,0,19,84,246,248,5,74,N\A
8,2009/07/28,0,2,255,255,14862,0,18,69,246,248,0,4,N\A
8,2009/08/05,15095,65,133,42,14858,0,17,54,246,248,65,8,N\A
8,2009/08/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
8,2009/08/21,15277,65,137,90,14589,65,22,114,246,248,128,64,N\A
8,2009/08/29,14940,0,130,9,0,2,255,255,247,248,160,0,N\A
8,2009/09/06,14920,65,133,36,14863,0,17,54,246,248,20,8,N\A
8,2009/09/14,14602,65,138,102,14771,0,16,41,246,248,64,16,N\A
8,2009/09/22,15188,65,135,56,14745,0,17,59,246,248,93,73,N\A
8,2009/09/30,15185,65,134,56,14762,0,21,101,246,248,250,129,N\A
8,2009/10/08,15403,65,137,77,14757,0,15,31,246,248,60,9,N\A
8,2009/10/16,15156,65,131,19,14679,65,17,55,247,248,136,208,N\A
8,2009/10/24,15170,0,136,68,14810,0,16,42,246,248,48,40,N\A
8,2009/11/01,15496,0,134,55,14643,0,16,49,246,248,248,146,N\A
