1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
11,No Data
id,Date,Daily daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Time of daytime Land-surface Temperature observation,View zenith angle of daytime Land-surface Temperature,Daily nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Time of nighttime Land-surface Temperature observation,View zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,day clear-sky coverage,night clear-sky coverage,actual_date
1,2000/06/22,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/23,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/24,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/26,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/28,0,2,255,255,14915,81,223,46,240,243,0,2832,N\A
1,2000/06/29,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/30,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/02,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/05,0,2,255,255,14662,145,224,59,240,243,0,117,N\A
1,2000/07/06,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/07,15467,81,112,75,14839,17,222,35,240,243,1856,1996,N\A
1,2000/07/08,0,2,255,255,14701,145,229,112,240,243,0,1041,N\A
1,2000/07/09,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/10,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/11,15456,81,108,28,14878,81,218,7,240,243,2000,3470,N\A
