site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
5,2010/01/25,355,1862,4096,N\A
5,2010/02/02,291,1512,4096,N\A
5,2010/02/10,408,2104,4096,N\A
5,2010/02/18,469,2994,4096,N\A
5,2010/02/26,444,2323,4096,N\A
5,2010/03/06,364,3861,4096,N\A
5,2010/03/14,350,2540,4096,N\A
5,2010/03/22,399,2607,4096,N\A
5,2010/03/30,507,3356,4096,N\A
5,2010/04/07,538,3349,4096,N\A
5,2010/04/15,578,3271,4096,N\A
5,2010/04/23,3913,4869,4096,N\A
5,2010/05/01,594,3805,4096,N\A
5,2010/05/09,463,3614,4096,N\A
5,2010/05/17,309,2945,4096,N\A
5,2010/05/25,305,2752,4096,N\A
5,2010/06/02,340,3610,4096,N\A
5,2010/06/10,386,4163,4096,N\A
5,2010/06/18,250,2887,4096,N\A
5,2010/06/26,434,4157,4096,N\A
5,2010/07/04,351,3653,4096,N\A
5,2010/07/12,450,4351,4096,N\A
5,2010/07/20,452,3107,4096,N\A
5,2010/07/28,515,3859,4096,N\A
5,2010/08/05,265,3184,4096,N\A
5,2010/08/13,522,3790,4096,N\A
5,2010/08/21,3090,5739,4096,N\A
5,2010/08/29,305,4474,4096,N\A
5,2010/09/06,324,3644,4096,N\A
5,2010/09/14,319,3906,4096,N\A
5,2010/09/22,262,3743,4096,N\A
5,2010/09/30,267,1157,4096,N\A
5,2010/10/08,381,1439,4096,N\A
5,2010/10/16,1459,3600,4096,N\A
5,2010/10/24,647,3359,4096,N\A
5,2010/11/01,2571,4024,4096,N\A
5,2010/11/09,1100,3403,4096,N\A
5,2010/11/17,439,3422,4096,N\A
5,2010/11/25,185,2565,4096,N\A
5,2010/12/03,530,3039,4096,N\A
5,2010/12/11,263,2638,4096,N\A
5,2010/12/19,239,2932,4096,N\A
5,2010/12/27,572,2920,4096,N\A
6,2010/01/01,1408,3765,4096,N\A
6,2010/01/09,431,2150,4096,N\A
6,2010/01/17,610,3043,4096,N\A
6,2010/01/25,3121,4027,4096,N\A
6,2010/02/02,683,2669,4096,N\A
6,2010/02/10,556,1833,4096,N\A
6,2010/02/18,683,2612,4096,N\A
6,2010/02/26,619,1934,4096,N\A
6,2010/03/06,933,2458,4096,N\A
6,2010/03/14,393,2005,4096,N\A
6,2010/03/22,501,2455,4096,N\A
6,2010/03/30,620,2568,4096,N\A
6,2010/04/07,566,3033,4096,N\A
6,2010/04/15,453,2572,4096,N\A
6,2010/04/23,1866,3985,4096,N\A
6,2010/05/01,659,3343,4096,N\A
6,2010/05/09,500,3255,4096,N\A
6,2010/05/17,545,3949,4096,N\A
